bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,price_per_sqft,total_rooms,price
0.375,0.19047619047619047,0.21354166666666666,0.3756455277835158,0.2,0.0,0.0,0.42857142857142855,0.23802612481857766,0.0,0.4824561403508772,0.9955312810327706,0.21929530685189183,0.3018867924528302,313000.0
0.875,0.5714285714285714,0.8151041666666666,0.4344143771947945,0.4,0.0,0.0,1.0,0.8272859216255443,0.18360655737704917,0.18421052631578946,0.0,0.3000507073423077,0.7547169811320755,1153093.75
0.375,0.38095238095238093,0.3671875,0.5840218963024169,0.0,0.0,0.0,0.7142857142857143,0.409288824383164,0.0,0.5789473684210527,0.0,0.163996274822875,0.37735849056603776,342000.0
0.375,0.47619047619047616,0.3854166666666667,0.38173931005990497,0.0,0.0,0.0,0.7142857142857143,0.13933236574746008,0.6557377049180327,0.5526315789473685,0.0,0.19616536126938253,0.41509433962264153,420000.0
0.625,0.5714285714285714,0.3697916666666667,0.5092956000826275,0.0,0.0,0.0,0.7142857142857143,0.1799709724238026,0.5245901639344263,0.6666666666666666,0.9890764647467726,0.26826118734416077,0.6037735849056604,550000.0
0.125,0.0,0.09375,0.29652964263581905,0.0,0.0,0.0,0.42857142857142855,0.10449927431059507,0.0,0.3333333333333333,0.9900695134061569,0.5363339309251527,0.07547169811320754,490000.0
0.125,0.38095238095238093,0.21614583333333334,0.0992563519933898,0.0,0.0,0.0,0.42857142857142855,0.2409288824383164,0.0,0.6666666666666666,0.0,0.23358208758557958,0.22641509433962265,335000.0
0.625,0.5714285714285714,0.5703125,1.0,0.4,0.0,0.0,0.42857142857142855,0.6357039187227866,0.0,0.7807017543859649,0.0,0.16464137055616626,0.6037735849056604,482000.0
0.375,0.5714285714285714,0.4973958333333333,1.0,0.0,0.0,0.0,0.7142857142857143,0.3047895500725689,0.5639344262295082,0.7456140350877193,0.0,0.17283540678096626,0.4528301886792453,452500.0
0.625,0.38095238095238093,0.2604166666666667,0.2872340425531915,0.2,0.0,0.0,0.42857142857142855,0.29027576197387517,0.0,0.39473684210526316,0.9980139026812314,0.40317143987207305,0.5283018867924528,640000.0
0.375,0.2857142857142857,0.3098958333333333,0.3450733319562074,0.0,0.0,0.0,0.42857142857142855,0.3454281567489115,0.0,0.42105263157894735,0.9900695134061569,0.25576062745619205,0.33962264150943394,463000.0
0.625,0.5714285714285714,0.625,0.17362115265441025,0.2,0.0,0.0,1.0,0.4034833091436865,0.6622950819672131,0.07894736842105263,0.9870903674280039,0.37751545119375185,0.6037735849056604,1153093.75
0.375,0.2857142857142857,0.4713541666666667,0.7361082420987399,0.0,0.0,0.0,0.42857142857142855,0.420899854862119,0.2360655737704918,0.7017543859649122,0.0,0.23792416778853004,0.33962264150943394,588500.0
0.375,0.0,0.1484375,0.2993699648832886,0.0,0.0,0.0,0.7142857142857143,0.16545718432510886,0.0,0.4824561403508772,0.9975173783515392,0.3186337358967356,0.22641509433962265,365000.0
0.875,0.6666666666666666,0.6223958333333334,0.4566205329477381,0.2,0.0,0.0,0.42857142857142855,0.6937590711175616,0.0,0.34210526315789475,0.977656405163853,0.3788464605382784,0.7924528301886793,1153093.75
0.375,0.19047619047619047,0.17708333333333334,0.46901466639124145,0.0,0.0,0.0,0.7142857142857143,0.19738751814223512,0.0,0.5701754385964912,0.0,0.18840048238580281,0.3018867924528302,242500.0
0.375,0.19047619047619047,0.2734375,0.3130551538938236,0.0,0.0,0.0,0.7142857142857143,0.3047895500725689,0.0,0.49122807017543857,0.0,0.25195379044567506,0.3018867924528302,419000.0
0.625,0.7619047619047619,0.6744791666666666,0.3404771741375749,0.4,0.0,0.0,0.42857142857142855,0.7518142235123367,0.0,0.8508771929824561,0.0,0.10609329185051493,0.6792452830188679,367500.0
0.375,0.2857142857142857,0.22135416666666666,0.2695724023961991,0.0,0.0,0.0,0.42857142857142855,0.2467343976777939,0.0,0.7631578947368421,0.9930486593843099,0.17486638500017038,0.33962264150943394,257950.0
0.375,0.19047619047619047,0.171875,0.49777938442470565,0.0,0.0,0.0,0.42857142857142855,0.19158200290275762,0.0,0.7280701754385965,0.9975173783515392,0.2187742503648368,0.3018867924528302,275000.0
0.375,0.2857142857142857,0.4479166666666667,0.5133236934517662,0.4,0.0,0.0,1.0,0.29898403483309144,0.4524590163934426,0.20175438596491227,0.0,0.3185935644187561,0.33962264150943394,750000.0
0.625,0.0,0.2421875,0.4215038215244784,0.0,0.0,0.0,0.7142857142857143,0.26995645863570394,0.0,0.47368421052631576,0.9826216484607746,0.28443977384060465,0.37735849056603776,435000.0
0.375,0.47619047619047616,0.3203125,0.04823383598430076,0.6,0.0,0.0,0.42857142857142855,0.2757619738751814,0.18360655737704917,0.9210526315789473,0.0,0.34104749237834076,0.41509433962264153,626000.0
0.625,0.5714285714285714,0.5755208333333334,0.6002375542243338,0.4,0.0,0.0,0.42857142857142855,0.6415094339622641,0.0,0.7982456140350878,0.0,0.21024902823231256,0.6037735849056604,612500.0
0.625,0.2857142857142857,0.28125,0.29652964263581905,0.0,0.0,0.0,0.42857142857142855,0.17706821480406387,0.3081967213114754,0.5175438596491229,0.9875868917576961,0.293635025150107,0.49056603773584906,495000.0
0.375,0.5714285714285714,0.4088541666666667,0.5265441024581698,0.0,0.0,0.0,0.7142857142857143,0.24383164005805516,0.4786885245901639,0.7631578947368421,0.0,0.12394084189292806,0.4528301886792453,285000.0
0.375,0.2857142857142857,0.4791666666666667,0.34357570749845073,0.0,0.0,0.0,0.7142857142857143,0.24383164005805516,0.6557377049180327,0.42105263157894735,0.0,0.24578854799727293,0.33962264150943394,615000.0
0.625,0.47619047619047616,0.4375,0.5480272670935757,0.2,0.0,0.0,1.0,0.22641509433962265,0.5901639344262295,0.17543859649122806,0.0,0.301381327768415,0.5660377358490566,698000.0
0.875,0.5714285714285714,0.5989583333333334,1.0,0.4,0.0,0.0,0.42857142857142855,0.6676342525399129,0.0,0.6929824561403509,1.0,0.22496410579616424,0.7547169811320755,675000.0
0.375,0.5714285714285714,0.5416666666666666,0.2123528196653584,0.0,0.0,0.0,0.7142857142857143,0.34252539912917274,0.5901639344262295,0.4473684210526316,0.9925521350546177,0.28821218463424664,0.4528301886792453,790000.0
0.625,0.2857142857142857,0.2708333333333333,0.416339599256352,0.0,0.0,0.0,0.7142857142857143,0.3018867924528302,0.0,0.5877192982456141,0.0,0.23068292003120655,0.49056603773584906,382500.0
0.625,0.5714285714285714,0.609375,0.1397954967981822,0.4,0.0,0.0,0.42857142857142855,0.4847605224963715,0.43934426229508194,0.9122807017543859,0.9945382323733863,0.1616478025075585,0.6037735849056604,499950.0
0.625,0.38095238095238093,0.3385416666666667,0.22526337533567445,0.2,0.0,0.0,0.42857142857142855,0.3251088534107402,0.1180327868852459,0.39473684210526316,0.9980139026812314,0.34048701991757113,0.5283018867924528,650000.0
